"","town","townUK","latuk","lonuk","lat","lon","geom"
"931","Langerwehe","Exmouth",50.62,-3.413,50.8167,6.3497,"LINESTRING (-3.413 50.62, 6.3497 50.8167)"
"932","Langres","Beaconsfield",51.6009,-0.6347,47.8633,5.3339,"LINESTRING (-0.6347 51.6009, 5.3339 47.8633)"
"933","Langueux","Wadebridge",50.518,-4.885,48.4958,-2.7161,"LINESTRING (-4.885 50.518, -2.7161 48.4958)"
"934","Languidic","Great Cornard",52.0245,0.7497,47.8342,-3.1567,"LINESTRING (0.7497 52.0245, -3.1567 47.8342)"
"936","Larnaca","London Borough of Haringey",51.6016,-0.1129,34.9167,33.6333,"LINESTRING (-0.1129 51.6016, 33.6333 34.9167)"
"939","La Roë","Stafford",52.8066,-2.1171,47.8958,-1.11,"LINESTRING (-2.1171 52.8066, -1.11 47.8958)"
"940","Launceston, Tasmania","Launceston, Cornwall",50.635,-4.354,-41.4419,147.145,"LINESTRING (-4.354 50.635, 147.145 -41.4419)"
"941","Lautertal, Hesse","Aldenham",51.6723,-0.3546,49.7333,8.7,"LINESTRING (-0.3546 51.6723, 8.7 49.7333)"
"942","Laval, Mayenne","Boston, Lincolnshire",52.9746,-0.0214,48.0733,-0.7689,"LINESTRING (-0.0214 52.9746, -0.7689 48.0733)"
"943","Lavaré","Old Catton",52.6611,1.3023,48.0528,0.6447,"LINESTRING (1.3023 52.6611, 0.6447 48.0528)"
"944","Le Chevain","Uffington, Oxfordshire",51.61,-1.56,48.4328,0.1253,"LINESTRING (-1.56 51.61, 0.1253 48.4328)"
"945","Leer","Trowbridge",51.317,-2.217,53.2308,7.4528,"LINESTRING (-2.217 51.317, 7.4528 53.2308)"
"946","Le Faou","Modbury",50.3491,-3.8869,48.2933,-4.1775,"LINESTRING (-3.8869 50.3491, -4.1775 48.2933)"
"947","Lefkara","London Borough of Islington",51.5333,-0.1333,34.8667,33.3069,"LINESTRING (-0.1333 51.5333, 33.3069 34.8667)"
"950","Le Havre","Southampton",50.9,-1.4,49.49,0.1,"LINESTRING (-1.4 50.9, 0.1 49.49)"
"952","Leiden","Oxford",51.7519,-1.2578,52.1667,4.4833,"LINESTRING (-1.2578 51.7519, 4.4833 52.1667)"
"953","Leipzig","Birmingham",52.4831,-1.8936,51.3333,12.3833,"LINESTRING (-1.8936 52.4831, 12.3833 51.3333)"
"954","Leiria","Borough of Halton",53.3333,-2.75,39.75,-8.8,"LINESTRING (-2.75 53.3333, -8.8 39.75)"
"955","Le Locle","Sidmouth",50.68,-3.239,47.0667,6.7,"LINESTRING (-3.239 50.68, 6.7 47.0667)"
"956","Le Mans","Bolton",53.5785,-2.4299,48.0077,0.1984,"LINESTRING (-2.4299 53.5785, 0.1984 48.0077)"
"967","Lemgo","Beverley",53.845,-0.427,52.0272,8.9117,"LINESTRING (-0.427 53.845, 8.9117 52.0272)"
"969","Leningradsky District, Krasnodar Krai","London Borough of Hounslow",51.4675,-0.3617,46.3167,39.3667,"LINESTRING (-0.3617 51.4675, 39.3667 46.3167)"
"970","León, Nicaragua","Oxford",51.7519,-1.2578,12.4333,-86.8867,"LINESTRING (-1.2578 51.7519, -86.8867 12.4333)"
"974","Le Raincy","London Borough of Barnet",51.6254,-0.1527,48.9,2.5167,"LINESTRING (-0.1527 51.6254, 2.5167 48.9)"
"976","Lerici","Horsham",51.062,-0.325,44.0764,9.9111,"LINESTRING (-0.325 51.062, 9.9111 44.0764)"
"977","Les Essarts, Vendée","Bicester",51.9,-1.15,46.7744,-1.2269,"LINESTRING (-1.15 51.9, -1.2269 46.7744)"
